REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-10-26 13:58:21

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,1027,,UAD Chandler GAV19T (Universal Audio /  Inc.) (mono),UAD_Chandler_GAV19T_m_.vst
,1028,,UAD Chandler Limited Curve Bende (Universal Audio /  Inc.),UAD_Chandler_Limited_Curve_Bender.vst
,1029,,UAD Chandler Limited Curve Bende (Universal Audio /  Inc.) (mono),UAD_Chandler_Limited_Curve_Bender_m_.vst
,1030,,UAD Chandler Limited Zener Limit (Universal Audio /  Inc.),UAD_Chandler_Limited_Zener_Limiter.vst
,1031,,UAD Chandler Limited Zener Limit (Universal Audio /  Inc.) (mono),UAD_Chandler_Limited_Zener_Limiter_m_.vst
,1032,,UAD Cooper Time Cube (Universal Audio /  Inc.),UAD_Cooper_Time_Cube.vst
,1033,,UAD Cooper Time Cube (Universal Audio /  Inc.) (mono),UAD_Cooper_Time_Cube_m_.vst
,1034,,UAD CS-1 (Universal Audio /  Inc.),UAD_CS_1.vst
,1035,,UAD CS-1 (Universal Audio /  Inc.) (mono),UAD_CS_1_m_.vst
,1036,,UAD Dangerous BAX EQ Master (Universal Audio /  Inc.),UAD_Dangerous_BAX_EQ_Master.vst
,1037,,UAD Dangerous BAX EQ Mix (Universal Audio /  Inc.),UAD_Dangerous_BAX_EQ_Mix.vst
,1038,,UAD Dangerous BAX EQ Mix (Universal Audio /  Inc.) (mono),UAD_Dangerous_BAX_EQ_Mix_m_.vst
,1039,,UAD dbx 160 (Universal Audio /  Inc.),UAD_dbx_160.vst
,1040,,UAD dbx 160 (Universal Audio /  Inc.) (mono),UAD_dbx_160_m_.vst
,1041,,UAD DreamVerb (Universal Audio /  Inc.),UAD_DreamVerb.vst
,1042,,UAD DreamVerb (Universal Audio /  Inc.) (mono),UAD_DreamVerb_m_.vst
,1043,,UAD Dytronics Cyclosonic Panner (Universal Audio /  Inc.),UAD_Dytronics_Cyclosonic_Panner.vst
,1044,,UAD Dytronics Cyclosonic Panner (Universal Audio /  Inc.) (mono),UAD_Dytronics_Cyclosonic_Panner_m_.vst
,1045,,UAD Eden WT800 (Universal Audio /  Inc.),UAD_Eden_WT800.vst
,1046,,UAD Eden WT800 (Universal Audio /  Inc.) (mono),UAD_Eden_WT800_m_.vst
,1047,,UAD EL7 FATSO Jr (Universal Audio /  Inc.),UAD_EL7_FATSO_Jr.vst
,1048,,UAD EL7 FATSO Jr (Universal Audio /  Inc.) (mono),UAD_EL7_FATSO_Jr_m_.vst
,1049,,UAD EL7 FATSO Sr (Universal Audio /  Inc.),UAD_EL7_FATSO_Sr.vst
,1050,,UAD EL7 FATSO Sr (Universal Audio /  Inc.) (mono),UAD_EL7_FATSO_Sr_m_.vst
,1051,,UAD elysia alpha master (Universal Audio /  Inc.),UAD_elysia_alpha_master.vst
,1052,,UAD elysia alpha master (Universal Audio /  Inc.) (mono),UAD_elysia_alpha_master_m_.vst
,1053,,UAD elysia alpha mix (Universal Audio /  Inc.),UAD_elysia_alpha_mix.vst
,1054,,UAD elysia alpha mix (Universal Audio /  Inc.) (mono),UAD_elysia_alpha_mix_m_.vst
,1055,,UAD elysia mpressor (Universal Audio /  Inc.),UAD_elysia_mpressor.vst
,1056,,UAD elysia mpressor (Universal Audio /  Inc.) (mono),UAD_elysia_mpressor_m_.vst
,1057,,UAD EMT 140 (Universal Audio /  Inc.),UAD_EMT_140.vst
,1058,,UAD EMT 140 (Universal Audio /  Inc.) (mono),UAD_EMT_140_m_.vst
,1059,,UAD EMT 250 (Universal Audio /  Inc.),UAD_EMT_250.vst
,1060,,UAD EMT 250 (Universal Audio /  Inc.) (mono),UAD_EMT_250_m_.vst
,1061,,UAD ENGL E646 VS (Universal Audio /  Inc.),UAD_ENGL_E646_VS.vst
,1062,,UAD ENGL E646 VS (Universal Audio /  Inc.) (mono),UAD_ENGL_E646_VS_m_.vst
,1063,,UAD ENGL E765 RT (Universal Audio /  Inc.),UAD_ENGL_E765_RT.vst
,1064,,UAD ENGL E765 RT (Universal Audio /  Inc.) (mono),UAD_ENGL_E765_RT_m_.vst
,1065,,UAD ENGL Savage 120 (Universal Audio /  Inc.),UAD_ENGL_Savage_120.vst
,1066,,UAD ENGL Savage 120 (Universal Audio /  Inc.) (mono),UAD_ENGL_Savage_120_m_.vst
,1067,,UAD EP-34 Tape Echo (Universal Audio /  Inc.),UAD_EP_34_Tape_Echo.vst
,1068,,UAD EP-34 Tape Echo (Universal Audio /  Inc.) (mono),UAD_EP_34_Tape_Echo_m_.vst
,1069,,UAD Eventide H910 Harmonizer (Universal Audio /  Inc.),UAD_Eventide_H910_Harmonizer.vst
,1070,,UAD Eventide H910 Harmonizer (Universal Audio /  Inc.) (mono),UAD_Eventide_H910_Harmonizer_m_.vst
,1071,,UAD Fairchild 660 (Universal Audio /  Inc.),UAD_Fairchild_660.vst
,1072,,UAD Fairchild 660 (Universal Audio /  Inc.) (mono),UAD_Fairchild_660_m_.vst
,1073,,UAD Fairchild 670 (Universal Audio /  Inc.),UAD_Fairchild_670.vst
,1074,,UAD Fairchild 670 Legacy (Universal Audio /  Inc.),UAD_Fairchild_670_Legacy.vst
,1075,,UAD Fairchild 670 Legacy (Universal Audio /  Inc.) (mono),UAD_Fairchild_670_Legacy_m_.vst
,1076,,UAD Fairchild 670 (Universal Audio /  Inc.) (mono),UAD_Fairchild_670_m_.vst
,1077,,UAD Fender 55 Tweed Deluxe (Universal Audio /  Inc.),UAD_Fender_55_Tweed_Deluxe.vst
,1078,,UAD Fender 55 Tweed Deluxe (Universal Audio /  Inc.) (mono),UAD_Fender_55_Tweed_Deluxe_m_.vst
,1079,,UAD Friedman BE100 (Universal Audio /  Inc.),UAD_Friedman_BE100.vst
,1080,,UAD Friedman BE100 (Universal Audio /  Inc.) (mono),UAD_Friedman_BE100_m_.vst
,1081,,UAD Friedman DS40 (Universal Audio /  Inc.),UAD_Friedman_DS40.vst
,1082,,UAD Friedman DS40 (Universal Audio /  Inc.) (mono),UAD_Friedman_DS40_m_.vst
,1083,,UAD Fuchs Overdrive Supreme 50 (Universal Audio /  Inc.),UAD_Fuchs_Overdrive_Supreme_50.vst
,1084,,UAD Fuchs Overdrive Supreme 50 (Universal Audio /  Inc.) (mono),UAD_Fuchs_Overdrive_Supreme_50_m_.vst
,1085,,UAD Fuchs Train II (Universal Audio /  Inc.),UAD_Fuchs_Train_II.vst
,1086,,UAD Fuchs Train II (Universal Audio /  Inc.) (mono),UAD_Fuchs_Train_II_m_.vst
,1087,,UAD Galaxy Tape Echo (Universal Audio /  Inc.),UAD_Galaxy_Tape_Echo.vst
,1088,,UAD Galaxy Tape Echo (Universal Audio /  Inc.) (mono),UAD_Galaxy_Tape_Echo_m_.vst
,1089,,UAD Harrison 32C (Universal Audio /  Inc.),UAD_Harrison_32C.vst
,1090,,UAD Harrison 32C (Universal Audio /  Inc.) (mono),UAD_Harrison_32C_m_.vst
,1091,,UAD Harrison 32C SE (Universal Audio /  Inc.),UAD_Harrison_32C_SE.vst
,1092,,UAD Harrison 32C SE (Universal Audio /  Inc.) (mono),UAD_Harrison_32C_SE_m_.vst
,1093,,UAD Helios 69 (Universal Audio /  Inc.),UAD_Helios_69.vst
,1094,,UAD Helios 69 (Universal Audio /  Inc.) (mono),UAD_Helios_69_m_.vst
,1095,,UAD Ibanez Tube Screamer TS808 (Universal Audio /  Inc.),UAD_Ibanez_Tube_Screamer_TS808.vst
,1096,,UAD Ibanez Tube Screamer TS808 (Universal Audio /  Inc.) (mono),UAD_Ibanez_Tube_Screamer_TS808_m_.vst
,1097,,UAD Korg SDD-3000 (Universal Audio /  Inc.),UAD_Korg_SDD_3000.vst
,1098,,UAD Korg SDD-3000 (Universal Audio /  Inc.) (mono),UAD_Korg_SDD_3000_m_.vst
,1099,,UAD LA3A (Universal Audio /  Inc.),UAD_LA3A.vst
,1100,,UAD LA3A (Universal Audio /  Inc.) (mono),UAD_LA3A_m_.vst
,1101,,UAD Lexicon 224 (Universal Audio /  Inc.),UAD_Lexicon_224.vst
,1102,,UAD Lexicon 224 (Universal Audio /  Inc.) (mono),UAD_Lexicon_224_m_.vst
,1103,,UAD Little Labs IBP (Universal Audio /  Inc.),UAD_Little_Labs_IBP.vst
,1104,,UAD Little Labs IBP (Universal Audio /  Inc.) (mono),UAD_Little_Labs_IBP_m_.vst
,1105,,UAD Little Labs VOG (Universal Audio /  Inc.),UAD_Little_Labs_VOG.vst
,1106,,UAD Little Labs VOG (Universal Audio /  Inc.) (mono),UAD_Little_Labs_VOG_m_.vst
,1107,,UAD Maag EQ4 (Universal Audio /  Inc.),UAD_Maag_EQ4.vst
,1108,,UAD Maag EQ4 (Universal Audio /  Inc.) (mono),UAD_Maag_EQ4_m_.vst
,1109,,UAD Manley Massive Passive (Universal Audio /  Inc.),UAD_Manley_Massive_Passive.vst
,1110,,UAD Manley Massive Passive (Universal Audio /  Inc.) (mono),UAD_Manley_Massive_Passive_m_.vst
,1111,,UAD Manley Massive Passive MST (Universal Audio /  Inc.),UAD_Manley_Massive_Passive_MST.vst
,1112,,UAD Manley Massive Passive MST (Universal Audio /  Inc.) (mono),UAD_Manley_Massive_Passive_MST_m_.vst
,1113,,UAD Manley Variable Mu (Universal Audio /  Inc.),UAD_Manley_Variable_Mu.vst
,1114,,UAD Manley Variable Mu (Universal Audio /  Inc.) (mono),UAD_Manley_Variable_Mu_m_.vst
,1115,,UAD Manley VOXBOX (Universal Audio /  Inc.),UAD_Manley_VOXBOX.vst
,1116,,UAD Manley VOXBOX (Universal Audio /  Inc.) (mono),UAD_Manley_VOXBOX_m_.vst
,1117,,UAD Marshall Bluesbreaker 1962 (Universal Audio /  Inc.),UAD_Marshall_Bluesbreaker_1962.vst
,1118,,UAD Marshall Bluesbreaker 1962 (Universal Audio /  Inc.) (mono),UAD_Marshall_Bluesbreaker_1962_m_.vst
,1119,,UAD Marshall JMP 2203 (Universal Audio /  Inc.),UAD_Marshall_JMP_2203.vst
,1120,,UAD Marshall JMP 2203 (Universal Audio /  Inc.) (mono),UAD_Marshall_JMP_2203_m_.vst
,1121,,UAD Marshall Plexi Super Lead 19 (Universal Audio /  Inc.),UAD_Marshall_Plexi_Super_Lead_1959.vst
,1122,,UAD Marshall Plexi Super Lead 19 (Universal Audio /  Inc.) (mono),UAD_Marshall_Plexi_Super_Lead_1959_m_.vst
,1123,,UAD Marshall Silver Jubilee 2555 (Universal Audio /  Inc.),UAD_Marshall_Silver_Jubilee_2555.vst
,1124,,UAD Marshall Silver Jubilee 2555 (Universal Audio /  Inc.) (mono),UAD_Marshall_Silver_Jubilee_2555_m_.vst
,1125,,UAD MDWEQ5-3B (Universal Audio /  Inc.),UAD_MDWEQ5_3B.vst
,1126,,UAD MDWEQ5-3B (Universal Audio /  Inc.) (mono),UAD_MDWEQ5_3B_m_.vst
,1127,,UAD MDWEQ5-5B (Universal Audio /  Inc.),UAD_MDWEQ5_5B.vst
,1128,,UAD MDWEQ5-5B (Universal Audio /  Inc.) (mono),UAD_MDWEQ5_5B_m_.vst
,1129,,UAD Millennia NSEQ-2 (Universal Audio /  Inc.),UAD_Millennia_NSEQ_2.vst
,1130,,UAD Millennia NSEQ-2 (Universal Audio /  Inc.) (mono),UAD_Millennia_NSEQ_2_m_.vst
,1131,,UAD Moog Multimode Filter (Universal Audio /  Inc.),UAD_Moog_Multimode_Filter.vst
,1132,,UAD Moog Multimode Filter (Universal Audio /  Inc.) (mono),UAD_Moog_Multimode_Filter_m_.vst
,1133,,UAD Moog Multimode Filter SE (Universal Audio /  Inc.),UAD_Moog_Multimode_Filter_SE.vst
,1134,,UAD Moog Multimode Filter SE (Universal Audio /  Inc.) (mono),UAD_Moog_Multimode_Filter_SE_m_.vst
,1135,,UAD Moog Multimode Filter XL (Universal Audio /  Inc.),UAD_Moog_Multimode_Filter_XL.vst
,1136,,UAD Moog Multimode Filter XL (Universal Audio /  Inc.) (mono),UAD_Moog_Multimode_Filter_XL_m_.vst
,1137,,UAD MXR Flanger-Doubler (Universal Audio /  Inc.),UAD_MXR_Flanger_Doubler.vst
,1138,,UAD MXR Flanger-Doubler (Universal Audio /  Inc.) (mono),UAD_MXR_Flanger_Doubler_m_.vst
,1139,,UAD Neve 1073 (Universal Audio /  Inc.),UAD_Neve_1073.vst
,1140,,UAD Neve 1073 Legacy (Universal Audio /  Inc.),UAD_Neve_1073_Legacy.vst
,1141,,UAD Neve 1073 Legacy (Universal Audio /  Inc.) (mono),UAD_Neve_1073_Legacy_m_.vst
,1142,,UAD Neve 1073 (Universal Audio /  Inc.) (mono),UAD_Neve_1073_m_.vst
,1143,,UAD Neve 1073SE Legacy (Universal Audio /  Inc.),UAD_Neve_1073SE_Legacy.vst
,1144,,UAD Neve 1073SE Legacy (Universal Audio /  Inc.) (mono),UAD_Neve_1073SE_Legacy_m_.vst
,1145,,UAD Neve 1081 (Universal Audio /  Inc.),UAD_Neve_1081.vst
,1146,,UAD Neve 1081 (Universal Audio /  Inc.) (mono),UAD_Neve_1081_m_.vst
,1147,,UAD Neve 1081SE (Universal Audio /  Inc.),UAD_Neve_1081SE.vst
,1148,,UAD Neve 1081SE (Universal Audio /  Inc.) (mono),UAD_Neve_1081SE_m_.vst
,1149,,UAD Neve 31102 (Universal Audio /  Inc.),UAD_Neve_31102.vst
,1150,,UAD Neve 31102 (Universal Audio /  Inc.) (mono),UAD_Neve_31102_m_.vst
,1151,,UAD Neve 31102SE (Universal Audio /  Inc.),UAD_Neve_31102SE.vst
,1152,,UAD Neve 31102SE (Universal Audio /  Inc.) (mono),UAD_Neve_31102SE_m_.vst
,1153,,UAD Neve 33609 (Universal Audio /  Inc.),UAD_Neve_33609.vst
,1154,,UAD Neve 33609 (Universal Audio /  Inc.) (mono),UAD_Neve_33609_m_.vst
,1155,,UAD Neve 33609SE (Universal Audio /  Inc.),UAD_Neve_33609SE.vst
,1156,,UAD Neve 33609SE (Universal Audio /  Inc.) (mono),UAD_Neve_33609SE_m_.vst
,1157,,UAD Neve 88RS (Universal Audio /  Inc.),UAD_Neve_88RS.vst
,1158,,UAD Neve 88RS Legacy (Universal Audio /  Inc.),UAD_Neve_88RS_Legacy.vst
,1159,,UAD Neve 88RS Legacy (Universal Audio /  Inc.) (mono),UAD_Neve_88RS_Legacy_m_.vst
,1160,,UAD Neve 88RS (Universal Audio /  Inc.) (mono),UAD_Neve_88RS_m_.vst
,1161,,UAD Ocean Way Studios (Universal Audio /  Inc.),UAD_Ocean_Way_Studios.vst
,1162,,UAD Ocean Way Studios (Universal Audio /  Inc.) (mono),UAD_Ocean_Way_Studios_m_.vst
,1163,,UAD OTO Biscuit 8-bit Effects (Universal Audio /  Inc.),UAD_OTO_Biscuit_8_bit_Effects.vst
,1164,,UAD OTO Biscuit 8-bit Effects (Universal Audio /  Inc.) (mono),UAD_OTO_Biscuit_8_bit_Effects_m_.vst
,1165,,UAD Oxford Dynamic EQ (Universal Audio /  Inc.),UAD_Oxford_Dynamic_EQ.vst
,1166,,UAD Oxford Dynamic EQ (Universal Audio /  Inc.) (mono),UAD_Oxford_Dynamic_EQ_m_.vst
,1167,,UAD Oxford Envolution (Universal Audio /  Inc.),UAD_Oxford_Envolution.vst
,1168,,UAD Oxford Envolution (Universal Audio /  Inc.) (mono),UAD_Oxford_Envolution_m_.vst
,1169,,UAD Oxford EQ (Universal Audio /  Inc.),UAD_Oxford_EQ.vst
,1170,,UAD Oxford EQ (Universal Audio /  Inc.) (mono),UAD_Oxford_EQ_m_.vst
,1171,,UAD Oxford Inflator (Universal Audio /  Inc.),UAD_Oxford_Inflator.vst
,1172,,UAD Oxford Inflator (Universal Audio /  Inc.) (mono),UAD_Oxford_Inflator_m_.vst
,1173,,UAD Oxford Limiter (Universal Audio /  Inc.),UAD_Oxford_Limiter.vst
,1174,,UAD Oxford Limiter (Universal Audio /  Inc.) (mono),UAD_Oxford_Limiter_m_.vst
,1175,,UAD Oxide Tape (Universal Audio /  Inc.),UAD_Oxide_Tape.vst
,1176,,UAD Oxide Tape (Universal Audio /  Inc.) (mono),UAD_Oxide_Tape_m_.vst
,1177,,UAD Precision Buss Compressor (Universal Audio /  Inc.),UAD_Precision_Buss_Compressor.vst
,1178,,UAD Precision Buss Compressor (Universal Audio /  Inc.) (mono),UAD_Precision_Buss_Compressor_m_.vst
,1179,,UAD Precision Channel Strip (Universal Audio /  Inc.),UAD_Precision_Channel_Strip.vst
,1180,,UAD Precision Channel Strip (Universal Audio /  Inc.) (mono),UAD_Precision_Channel_Strip_m_.vst
,1181,,UAD Precision De-Esser (Universal Audio /  Inc.),UAD_Precision_De_Esser.vst
,1182,,UAD Precision De-Esser (Universal Audio /  Inc.) (mono),UAD_Precision_De_Esser_m_.vst
,1183,,UAD Precision Delay Mod (Universal Audio /  Inc.),UAD_Precision_Delay_Mod.vst
,1184,,UAD Precision Delay Mod L (Universal Audio /  Inc.),UAD_Precision_Delay_Mod_L.vst
,1185,,UAD Precision Delay Mod L (Universal Audio /  Inc.) (mono),UAD_Precision_Delay_Mod_L_m_.vst
,1186,,UAD Precision Delay Mod (Universal Audio /  Inc.) (mono),UAD_Precision_Delay_Mod_m_.vst
,1187,,UAD Precision Enhancer Hz (Universal Audio /  Inc.),UAD_Precision_Enhancer_Hz.vst
,1188,,UAD Precision Enhancer Hz (Universal Audio /  Inc.) (mono),UAD_Precision_Enhancer_Hz_m_.vst
,1189,,UAD Precision Enhancer kHz (Universal Audio /  Inc.),UAD_Precision_Enhancer_kHz.vst
,1190,,UAD Precision Enhancer kHz (Universal Audio /  Inc.) (mono),UAD_Precision_Enhancer_kHz_m_.vst
,1191,,UAD Precision Equalizer (Universal Audio /  Inc.),UAD_Precision_Equalizer.vst
,1192,,UAD Precision Equalizer (Universal Audio /  Inc.) (mono),UAD_Precision_Equalizer_m_.vst
,1193,,UAD Precision K-Stereo (Universal Audio /  Inc.),UAD_Precision_K_Stereo.vst
,1194,,UAD Precision K-Stereo (Universal Audio /  Inc.) (mono),UAD_Precision_K_Stereo_m_.vst
,1195,,UAD Precision Limiter (Universal Audio /  Inc.),UAD_Precision_Limiter.vst
,1196,,UAD Precision Limiter (Universal Audio /  Inc.) (mono),UAD_Precision_Limiter_m_.vst
,1197,,UAD Precision Maximizer (Universal Audio /  Inc.),UAD_Precision_Maximizer.vst
,1198,,UAD Precision Maximizer (Universal Audio /  Inc.) (mono),UAD_Precision_Maximizer_m_.vst
,1199,,UAD Precision Multiband (Universal Audio /  Inc.),UAD_Precision_Multiband.vst
,1200,,UAD Precision Multiband (Universal Audio /  Inc.) (mono),UAD_Precision_Multiband_m_.vst
,1201,,UAD Precision Reflection Engine (Universal Audio /  Inc.),UAD_Precision_Reflection_Engine.vst
,1202,,UAD Precision Reflection Engine (Universal Audio /  Inc.) (mono),UAD_Precision_Reflection_Engine_m_.vst
,1203,,UAD Pultec EQP-1A (Universal Audio /  Inc.),UAD_Pultec_EQP_1A.vst
,1204,,UAD Pultec EQP-1A Legacy (Universal Audio /  Inc.),UAD_Pultec_EQP_1A_Legacy.vst
,1205,,UAD Pultec EQP-1A Legacy (Universal Audio /  Inc.) (mono),UAD_Pultec_EQP_1A_Legacy_m_.vst
,1206,,UAD Pultec EQP-1A (Universal Audio /  Inc.) (mono),UAD_Pultec_EQP_1A_m_.vst
,1207,,UAD Pultec HLF-3C (Universal Audio /  Inc.),UAD_Pultec_HLF_3C.vst
,1208,,UAD Pultec HLF-3C (Universal Audio /  Inc.) (mono),UAD_Pultec_HLF_3C_m_.vst
,1209,,UAD Pultec MEQ-5 (Universal Audio /  Inc.),UAD_Pultec_MEQ_5.vst
,1210,,UAD Pultec MEQ-5 (Universal Audio /  Inc.) (mono),UAD_Pultec_MEQ_5_m_.vst
,1211,,UAD Pultec-Pro Legacy (Universal Audio /  Inc.),UAD_Pultec_Pro_Legacy.vst
,1212,,UAD Pultec-Pro Legacy (Universal Audio /  Inc.) (mono),UAD_Pultec_Pro_Legacy_m_.vst
,1213,,UAD Pure Plate (Universal Audio /  Inc.),UAD_Pure_Plate.vst
,1214,,UAD Pure Plate (Universal Audio /  Inc.) (mono),UAD_Pure_Plate_m_.vst
,1215,,UAD Raw (Universal Audio /  Inc.),UAD_Raw.vst
,1216,,UAD Raw (Universal Audio /  Inc.) (mono),UAD_Raw_m_.vst
,1217,,UAD RealVerb-Pro (Universal Audio /  Inc.),UAD_RealVerb_Pro.vst
,1218,,UAD RealVerb-Pro (Universal Audio /  Inc.) (mono),UAD_RealVerb_Pro_m_.vst
,1219,,UAD Roland CE-1 (Universal Audio /  Inc.),UAD_Roland_CE_1.vst
,1220,,UAD Roland CE-1 (Universal Audio /  Inc.) (mono),UAD_Roland_CE_1_m_.vst
,1221,,UAD Roland Dimension D (Universal Audio /  Inc.),UAD_Roland_Dimension_D.vst
,1222,,UAD Roland Dimension D (Universal Audio /  Inc.) (mono),UAD_Roland_Dimension_D_m_.vst
,1223,,UAD Roland RE-201 (Universal Audio /  Inc.),UAD_Roland_RE_201.vst
,1224,,UAD Roland RE-201 (Universal Audio /  Inc.) (mono),UAD_Roland_RE_201_m_.vst
,1225,,UAD Shadow Hills Mastering Compr (Universal Audio /  Inc.),UAD_Shadow_Hills_Mastering_Compressor.vst
,1226,,UAD Shadow Hills Mastering Compr (Universal Audio /  Inc.) (mono),UAD_Shadow_Hills_Mastering_Compressor_m_.vst
,1227,,UAD Softube Amp Room Half-Stack (Universal Audio /  Inc.),UAD_Softube_Amp_Room_Half_Stack.vst
,1228,,UAD Softube Amp Room Half-Stack (Universal Audio /  Inc.) (mono),UAD_Softube_Amp_Room_Half_Stack_m_.vst
,1229,,UAD Softube Bass Amp Room (Universal Audio /  Inc.),UAD_Softube_Bass_Amp_Room.vst
,1230,,UAD Softube Bass Amp Room 8x10 (Universal Audio /  Inc.),UAD_Softube_Bass_Amp_Room_8x10.vst
,1231,,UAD Softube Bass Amp Room 8x10 (Universal Audio /  Inc.) (mono),UAD_Softube_Bass_Amp_Room_8x10_m_.vst
,1232,,UAD Softube Bass Amp Room (Universal Audio /  Inc.) (mono),UAD_Softube_Bass_Amp_Room_m_.vst
,1233,,UAD Softube Metal Amp Room (Universal Audio /  Inc.),UAD_Softube_Metal_Amp_Room.vst
,1234,,UAD Softube Metal Amp Room (Universal Audio /  Inc.) (mono),UAD_Softube_Metal_Amp_Room_m_.vst
,1235,,UAD Softube Vintage Amp Room (Universal Audio /  Inc.),UAD_Softube_Vintage_Amp_Room.vst
,1236,,UAD Softube Vintage Amp Room (Universal Audio /  Inc.) (mono),UAD_Softube_Vintage_Amp_Room_m_.vst
,1237,,UAD Sound Machine Wood Works (Universal Audio /  Inc.),UAD_Sound_Machine_Wood_Works.vst
,1238,,UAD Sound Machine Wood Works (Universal Audio /  Inc.) (mono),UAD_Sound_Machine_Wood_Works_m_.vst
,1239,,UAD SPL Transient Designer (Universal Audio /  Inc.),UAD_SPL_Transient_Designer.vst
,1240,,UAD SPL Transient Designer (Universal Audio /  Inc.) (mono),UAD_SPL_Transient_Designer_m_.vst
,1241,,UAD SPL TwinTube (Universal Audio /  Inc.),UAD_SPL_TwinTube.vst
,1242,,UAD SPL TwinTube (Universal Audio /  Inc.) (mono),UAD_SPL_TwinTube_m_.vst
,1243,,UAD SPL Vitalizer MK2-T (Universal Audio /  Inc.),UAD_SPL_Vitalizer_MK2_T.vst
,1244,,UAD SPL Vitalizer MK2-T (Universal Audio /  Inc.) (mono),UAD_SPL_Vitalizer_MK2_T_m_.vst
,1245,,UAD SSL E Channel Strip (Universal Audio /  Inc.),UAD_SSL_E_Channel_Strip.vst
,1246,,UAD SSL E Channel Strip Legacy (Universal Audio /  Inc.),UAD_SSL_E_Channel_Strip_Legacy.vst
,1247,,UAD SSL E Channel Strip Legacy (Universal Audio /  Inc.) (mono),UAD_SSL_E_Channel_Strip_Legacy_m_.vst
,1248,,UAD SSL E Channel Strip (Universal Audio /  Inc.) (mono),UAD_SSL_E_Channel_Strip_m_.vst
,1249,,UAD SSL G Bus Compressor (Universal Audio /  Inc.),UAD_SSL_G_Bus_Compressor.vst
,1250,,UAD SSL G Bus Compressor Legacy (Universal Audio /  Inc.),UAD_SSL_G_Bus_Compressor_Legacy.vst
,1251,,UAD SSL G Bus Compressor Legacy (Universal Audio /  Inc.) (mono),UAD_SSL_G_Bus_Compressor_Legacy_m_.vst
,1252,,UAD SSL G Bus Compressor (Universal Audio /  Inc.) (mono),UAD_SSL_G_Bus_Compressor_m_.vst
,1253,,UAD Studer A800 (Universal Audio /  Inc.),UAD_Studer_A800.vst
,1254,,UAD Studer A800 (Universal Audio /  Inc.) (mono),UAD_Studer_A800_m_.vst
,1255,,UAD Studio D Chorus (Universal Audio /  Inc.),UAD_Studio_D_Chorus.vst
,1256,,UAD Studio D Chorus (Universal Audio /  Inc.) (mono),UAD_Studio_D_Chorus_m_.vst
,1257,,UAD Summit Audio TLA-100A (Universal Audio /  Inc.),UAD_Summit_Audio_TLA_100A.vst
,1258,,UAD Summit Audio TLA-100A (Universal Audio /  Inc.) (mono),UAD_Summit_Audio_TLA_100A_m_.vst
,1259,,UAD Teletronix LA-2 (Universal Audio /  Inc.),UAD_Teletronix_LA_2.vst
,1260,,UAD Teletronix LA-2 (Universal Audio /  Inc.) (mono),UAD_Teletronix_LA_2_m_.vst
,1261,,UAD Teletronix LA-2A Gray (Universal Audio /  Inc.),UAD_Teletronix_LA_2A_Gray.vst
,1262,,UAD Teletronix LA-2A Gray (Universal Audio /  Inc.) (mono),UAD_Teletronix_LA_2A_Gray_m_.vst
,1263,,UAD Teletronix LA-2A Legacy (Universal Audio /  Inc.),UAD_Teletronix_LA_2A_Legacy.vst
,1264,,UAD Teletronix LA-2A Legacy (Universal Audio /  Inc.) (mono),UAD_Teletronix_LA_2A_Legacy_m_.vst
,1265,,UAD Teletronix LA-2A Silver (Universal Audio /  Inc.),UAD_Teletronix_LA_2A_Silver.vst
,1266,,UAD Teletronix LA-2A Silver (Universal Audio /  Inc.) (mono),UAD_Teletronix_LA_2A_Silver_m_.vst
,1267,,UAD Thermionic Culture Vulture (Universal Audio /  Inc.),UAD_Thermionic_Culture_Vulture.vst
,1268,,UAD Thermionic Culture Vulture (Universal Audio /  Inc.) (mono),UAD_Thermionic_Culture_Vulture_m_.vst
,1269,,UAD Tonelux Tilt (Universal Audio /  Inc.),UAD_Tonelux_Tilt.vst
,1270,,UAD Tonelux Tilt Live (Universal Audio /  Inc.),UAD_Tonelux_Tilt_Live.vst
,1271,,UAD Tonelux Tilt Live (Universal Audio /  Inc.) (mono),UAD_Tonelux_Tilt_Live_m_.vst
,1272,,UAD Tonelux Tilt (Universal Audio /  Inc.) (mono),UAD_Tonelux_Tilt_m_.vst
,1273,,UAD Townsend Labs Sphere (Universal Audio /  Inc.),UAD_Townsend_Labs_Sphere.vst
,1274,,UAD Townsend Labs Sphere 180 (Universal Audio /  Inc.),UAD_Townsend_Labs_Sphere_180.vst
,1275,,UAD Trident A-Range (Universal Audio /  Inc.),UAD_Trident_A_Range.vst
,1276,,UAD Trident A-Range (Universal Audio /  Inc.) (mono),UAD_Trident_A_Range_m_.vst
,1277,,UAD Tube-Tech CL 1B (Universal Audio /  Inc.),UAD_Tube_Tech_CL_1B.vst
,1278,,UAD Tube-Tech CL 1B (Universal Audio /  Inc.) (mono),UAD_Tube_Tech_CL_1B_m_.vst
,1279,,UAD Tube-Tech ME 1B (Universal Audio /  Inc.),UAD_Tube_Tech_ME_1B.vst
