REAPER,VST/VSTi INSTALLED EXTRACTOR
Version:,3.1 FERRETS
by:,Tormy Van Cool
Date:,2023-10-26 13:58:21

CHECK,N.,INSTR.,VST/VSTi/AU/CLAP NAME (Manufacturer),FILE (VSTs) - INST-NotINST (AUs) - CLAP (for Clap Plugins)
,163,Instr.,BlueARP (x86) (graywolf2004)!!!VSTi,BlueARP.vst
,164,Instr.,BlueARP.x64 (graywolf2004)!!!VSTi,BlueARP.x64.vst
,165,,BrightnessPanner (Sound Particles) (4->16ch),BrightnessPanner.vst
,166,,BrightnessPanner (Sound Particles),BrightnessPanner.vst3
,167,,ButterFLY (SIR Audio Tools) (16ch),ButterFLY.vst
,168,,ButterFLY (SIR Audio Tools) (10ch),ButterFLY.vst3
,169,,ConnectionOpen (ConnectionOpen Inc.),CO.vst
,170,,Console Recall (Universal Audio /  Inc.),Console_Recall.vst
,171,,CoordinateConverter (IEM) (64ch),CoordinateConverter.vst
,172,,Correct2B (x86) (Ambisonic Studio B2X) (4ch),Correct2B.vst
,173,Instr.,Cthulhu (Xfer Records)!!!VSTi,Cthulhu.vst
,174,Instr.,DAWconnect Plugin (DAWconnect)!!!VSTi,DAWconnect_Plugin.vst
,175,,DDSP Effect (Magenta),DDSP_Effect.vst3
,176,Instr.,DDSP Synth (Magenta)!!!VSTi,DDSP_Synth.vst3
,177,,dearVR AMBI MICRO (Dear Reality) (16ch),dearVR_AMBI_MICRO.vst
,178,,dearVR AMBI MICRO (Dear Reality),dearVR_AMBI_MICRO.vst3
,179,Instr.,DecentSampler (Decidedly)!!!VSTi,DecentSampler.vst
,180,Instr.,DecentSampler (Decidedly)!!!VSTi,DecentSampler.vst3
,181,,DeltaModulator (Xfer Records),DeltaModulator.vst
,182,,Density (Sound Particles),Density.vst3
,183,,Devil-Loc (SoundToys),Devil_Loc.vst
,184,,Digital Musician Plug-In (x86) (Digital Musician Net),Digital_Musician_Plug_In.vst
,185,,Dimension Expander (Xfer Records),DimensionExpander.vst
,186,,DirectionalCompressor (IEM) (64ch),DirectionalCompressor.vst
,187,,DirectivityShaper (IEM) (64ch),DirectivityShaper.vst
,188,,DistanceCompensator (IEM) (64ch),DistanceCompensator.vst
,189,,DJMFilter (Xfer Records),DJMFilter.vst
,190,,DMS2B (x86) (Ambisonic Studio B2X) (3ch),DMS2B.vst
,191,,DMS2Five (x86) (Ambisonic Studio) (6ch),DMS2Five.vst
,192,,DMXIS (fx) (db audioware),DMXIS.vst
,193,Instr.,DMXIS (instrument) (db audioware)!!!VSTi,DMXIS_Inst.vst
